post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47762901,An AI Vibe Coding Horror Story,technology,54,23,teichmann,2026-04-14 14:49:20,0.41818181818181815,False
47760529,DaVinci Resolve – Photo,technology,535,127,thebiblelover7,2026-04-14 14:49:22,0.23694029850746268,True
47760764,A new spam policy for “back button hijacking”,technology,330,195,zdw,2026-04-14 14:49:24,0.5891238670694864,True
47762641,Introspective Diffusion Language Models,technology,24,5,zagwdt,2026-04-14 14:49:26,0.2,False
47755629,Someone bought 30 WordPress plugins and planted a backdoor in all of them,technology,930,263,speckx,2026-04-14 14:49:27,0.2824919441460795,True
47762060,The secrets of the Shinkansen,technology,67,47,WillDaSilva,2026-04-14 14:49:29,0.6911764705882353,False
47757495,GitHub Stacked PRs,technology,708,372,ezekg,2026-04-14 14:49:30,0.5246826516220028,True
47761609,TanStack Start Now Support React Server Components,technology,54,38,polywock,2026-04-14 14:49:32,0.6909090909090909,False
47762864,Backblaze has stopped backing up your data,technology,11,5,rrreese,2026-04-14 14:49:33,0.4166666666666667,False
47759709,Lean proved this program correct; then I found a bug,technology,243,118,bumbledraven,2026-04-14 14:49:35,0.48360655737704916,True
47761997,Distributed DuckDB Instance,technology,46,8,citguru,2026-04-14 14:49:36,0.1702127659574468,False
47759341,WiiFin – Jellyfin Client for Nintendo Wii,technology,152,67,throwawayk7h,2026-04-14 14:49:38,0.43790849673202614,False
47711148,A soft robot has no problem moving with no motor and no gears,technology,27,3,hhs,2026-04-14 14:49:40,0.10714285714285714,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,29,8,tie-in,2026-04-14 14:49:41,0.26666666666666666,False
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,15,1,adunk,2026-04-14 14:49:43,0.0625,False
47718284,Design and implementation of DuckDB internals,technology,117,8,mpweiher,2026-04-14 14:49:44,0.06779661016949153,False
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,416,234,m-hodges,2026-04-14 14:49:46,0.5611510791366906,True
47761825,Roblox devs now need a subscription to share their games freely,sports,47,41,hallole,2026-04-14 14:49:48,0.8541666666666666,False
47708457,Rust Threads on the GPU,technology,65,21,PaulHoule,2026-04-14 14:49:49,0.3181818181818182,False
47751781,US appeals court declares 158-year-old home distilling ban unconstitutional,technology,384,255,t-3,2026-04-14 14:49:50,0.6623376623376623,True
47705390,Lumina – a statically typed web-native language for JavaScript and WASM,technology,8,3,light_ideas,2026-04-14 14:49:52,0.3333333333333333,False
47715681,Repository Pattern with Hygienic Macros in Scheme – Lisp,technology,6,0,jjba23,2026-04-14 14:49:53,0.0,False
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,64,18,mufeedvh,2026-04-14 14:49:55,0.27692307692307694,False
47752819,Make tmux pretty and usable (2024),technology,377,235,speckx,2026-04-14 14:49:56,0.6216931216931217,True
47716805,Anastasia (1997) live action reference material,technology,23,3,hyperific,2026-04-14 14:49:58,0.125,False
47728970,"Write less code, be more responsible",technology,87,54,orhunp_,2026-04-14 14:49:59,0.6136363636363636,False
47756321,How to make Firefox builds 17% faster,technology,178,34,mbitsnbites,2026-04-14 14:50:00,0.18994413407821228,False
47762006,Can Claude Fly a Plane?,technology,78,71,casi,2026-04-14 14:50:01,0.8987341772151899,False
47750669,Android now stops you sharing your location in photos,technology,368,297,edent,2026-04-14 14:50:02,0.8048780487804879,True
47753689,Building a CLI for all of Cloudflare,technology,302,100,soheilpro,2026-04-14 14:50:04,0.33003300330033003,True
47729350,I just want simple S3,technology,174,88,g0xA52A2A,2026-04-14 14:50:05,0.5028571428571429,False
47716409,"A name is succession, legacy and celebration in Japan's Kabuki theater",technology,10,1,mooreds,2026-04-14 14:50:06,0.09090909090909091,False
47729046,Air Powered Segment Display? [video],technology,104,11,ProfDreamer,2026-04-14 14:50:08,0.10476190476190476,False
47761310,Math Is Still Catching Up to the Mysterious Genius of Srinivasa Ramanujan (2024),technology,69,12,paulpauper,2026-04-14 14:50:09,0.17142857142857143,False
47715389,"I shipped a transaction bug, so I built a linter",technology,40,6,leonhfr,2026-04-14 14:50:10,0.14634146341463414,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,128,30,galaxyLogic,2026-04-14 14:50:11,0.23255813953488372,False
47743728,Tracking down a 25% Regression on LLVM RISC-V,technology,117,22,luu,2026-04-14 14:50:13,0.1864406779661017,False
47728823,What we learned building a Rust runtime for TypeScript,technology,70,12,vinhnx,2026-04-14 14:50:14,0.16901408450704225,False
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,148,38,cvrajeesh,2026-04-14 14:50:15,0.2550335570469799,False
