post_id,title,category,score,num_comments,author,collected_at
47760529,DaVinci Resolve – Photo,technology,631,153,thebiblelover7,2026-04-14 16:42:39
47762864,Backblaze has stopped backing up your data,technology,209,126,rrreese,2026-04-14 16:42:40
47760764,A new spam policy for “back button hijacking”,technology,397,233,zdw,2026-04-14 16:42:41
47755629,Someone bought 30 WordPress plugins and planted a backdoor in all of them,technology,977,270,speckx,2026-04-14 16:42:43
47762641,Introspective Diffusion Language Models,technology,61,15,zagwdt,2026-04-14 16:42:44
47757495,GitHub Stacked PRs,technology,729,389,ezekg,2026-04-14 16:42:45
47722629,Franklin's bad ads for Apple ][ clones and the beloved impersonator they depict,technology,17,3,rfarley04,2026-04-14 16:42:46
47761997,Distributed DuckDB Instance,technology,71,15,citguru,2026-04-14 16:42:49
47759709,Lean proved this program correct; then I found a bug,technology,272,130,bumbledraven,2026-04-14 16:42:51
47711148,A soft robot has no problem moving with no motor and no gears,technology,39,6,hhs,2026-04-14 16:42:53
47759341,WiiFin – Jellyfin Client for Nintendo Wii,technology,169,72,throwawayk7h,2026-04-14 16:42:56
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,17,5,adulion,2026-04-14 16:42:58
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,43,12,tie-in,2026-04-14 16:43:00
47762060,The secrets of the Shinkansen,technology,93,82,WillDaSilva,2026-04-14 16:43:02
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,27,3,adunk,2026-04-14 16:43:05
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,425,237,m-hodges,2026-04-14 16:43:07
47718284,Design and implementation of DuckDB internals,technology,128,8,mpweiher,2026-04-14 16:43:09
47705390,Lumina – a statically typed web-native language for JavaScript and WASM,technology,15,5,light_ideas,2026-04-14 16:43:13
47751781,US appeals court declares 158-year-old home distilling ban unconstitutional,technology,393,267,t-3,2026-04-14 16:43:15
47708457,Rust Threads on the GPU,technology,79,23,PaulHoule,2026-04-14 16:43:17
47761609,TanStack Start Now Support React Server Components,technology,65,46,polywock,2026-04-14 16:43:19
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,74,24,mufeedvh,2026-04-14 16:43:20
47752819,Make tmux pretty and usable (2024),technology,388,239,speckx,2026-04-14 16:43:21
47728970,"Write less code, be more responsible",technology,97,57,orhunp_,2026-04-14 16:43:23
47756321,How to make Firefox builds 17% faster,technology,182,34,mbitsnbites,2026-04-14 16:43:25
47750669,Android now stops you sharing your location in photos,technology,378,300,edent,2026-04-14 16:43:27
47729350,I just want simple S3,technology,192,95,g0xA52A2A,2026-04-14 16:43:30
47716805,Anastasia (1997) live action reference material,technology,30,5,hyperific,2026-04-14 16:43:32
47753689,Building a CLI for all of Cloudflare,technology,312,100,soheilpro,2026-04-14 16:43:34
47729046,Air Powered Segment Display? [video],technology,110,11,ProfDreamer,2026-04-14 16:43:37
47715389,"I shipped a transaction bug, so I built a linter",technology,44,6,leonhfr,2026-04-14 16:43:39
47743728,Tracking down a 25% Regression on LLVM RISC-V,technology,119,22,luu,2026-04-14 16:43:41
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,132,30,galaxyLogic,2026-04-14 16:43:44
47762006,Can Claude Fly a Plane?,technology,86,84,casi,2026-04-14 16:43:46
47728823,What we learned building a Rust runtime for TypeScript,technology,73,12,vinhnx,2026-04-14 16:43:48
47715681,Repository Pattern with Hygienic Macros in Scheme – Lisp,technology,10,0,jjba23,2026-04-14 16:43:51
47761310,Math Is Still Catching Up to the Mysterious Genius of Srinivasa Ramanujan (2024),technology,79,17,paulpauper,2026-04-14 16:43:53
47716409,"A name is succession, legacy and celebration in Japan's Kabuki theater",technology,14,2,mooreds,2026-04-14 16:43:54
47761825,Roblox devs now need a subscription to share their games freely,sports,57,58,hallole,2026-04-14 16:43:55
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,152,39,cvrajeesh,2026-04-14 16:43:57
